date,Domestic Aviation,Ground Transport,Industry,Power,Residential,西班牙
2020-02-15,0.01,0.21,0.16,0.11,0.13,0.62
2020-02-16,0.01,0.15,0.13,0.08,0.12,0.5
2020-02-17,0.02,0.28,0.17,0.11,0.12,0.7
2020-02-18,0.01,0.28,0.2,0.13,0.14,0.77
2020-02-19,0.01,0.28,0.22,0.14,0.14,0.8
2020-02-20,0.01,0.28,0.2,0.13,0.14,0.78
2020-02-21,0.02,0.29,0.21,0.14,0.13,0.78
2020-02-22,0.01,0.21,0.18,0.12,0.13,0.65
2020-02-23,0.01,0.16,0.16,0.11,0.12,0.57
2020-02-24,0.02,0.27,0.2,0.13,0.12,0.73
2020-02-25,0.01,0.27,0.13,0.09,0.12,0.63
2020-02-26,0.01,0.28,0.14,0.09,0.13,0.66
2020-02-27,0.01,0.29,0.14,0.09,0.12,0.66
2020-02-28,0.02,0.27,0.15,0.1,0.12,0.66
2020-02-29,0.01,0.21,0.09,0.06,0.12,0.49
2020-03-01,0.01,0.15,0.1,0.06,0.11,0.43
2020-03-02,0.02,0.27,0.11,0.06,0.12,0.58
2020-03-03,0.01,0.28,0.12,0.07,0.13,0.6
2020-03-04,0.01,0.28,0.14,0.08,0.1,0.62
2020-03-05,0.01,0.28,0.12,0.07,0.11,0.59
2020-03-06,0.02,0.28,0.12,0.07,0.14,0.62
2020-03-07,0.01,0.2,0.13,0.08,0.14,0.56
2020-03-08,0.01,0.16,0.12,0.07,0.13,0.49
2020-03-09,0.01,0.27,0.15,0.09,0.12,0.65
2020-03-10,0.01,0.28,0.16,0.09,0.1,0.64
2020-03-11,0.01,0.26,0.19,0.11,0.09,0.66
2020-03-12,0.01,0.25,0.18,0.11,0.09,0.64
2020-03-13,0.02,0.23,0.17,0.1,0.1,0.61
2020-03-14,0.01,0.09,0.17,0.1,0.11,0.48
2020-03-15,0.01,0.07,0.15,0.09,0.12,0.43
2020-03-16,0.01,0.14,0.13,0.08,0.15,0.5
2020-03-17,0.01,0.13,0.12,0.07,0.13,0.46
2020-03-18,0.01,0.11,0.13,0.08,0.11,0.43
2020-03-19,0.0,0.12,0.13,0.07,0.12,0.44
2020-03-20,0.0,0.12,0.14,0.08,0.12,0.46
2020-03-21,0.0,0.08,0.15,0.09,0.13,0.45
